name,count,pctwhite,pctblack
SMITH,2376206,73.35,22.22
JOHNSON,1857160,61.55,33.8
WILLIAMS,1534042,48.52,46.72
BROWN,1380145,60.71,34.54
JONES,1362755,57.69,37.73
MILLER,1127803,85.81,10.41
DAVIS,1072335,64.73,30.77
GARCIA,858289,6.17,0.49
RODRIGUEZ,804240,5.52,0.54
WILSON,783051,69.72,25.32
MARTINEZ,775072,6.04,0.52
ANDERSON,762394,77.6,18.06
TAYLOR,720370,67.8,27.67
THOMAS,710696,55.53,38.17
HERNANDEZ,706372,4.55,0.38
MOORE,698671,68.85,26.92
MARTIN,672711,77.47,15.3
JACKSON,666125,41.93,53.02
THOMPSON,644368,72.48,22.53
WHITE,639515,67.91,27.38
LOPEZ,621536,5.85,0.61
LEE,605860,40.09,17.41
GONZALEZ,597718,4.76,0.37
HARRIS,593542,53.88,41.63
CLARK,548369,76.84,18.53
LEWIS,509930,60.97,33.83
ROBINSON,503028,51.34,44.1
WALKER,501307,61.25,34.17
PEREZ,488521,5.95,0.48
HALL,473568,75.11,20.75
YOUNG,465948,68.91,23.79
ALLEN,463368,70.24,25.14
SANCHEZ,441242,5.77,0.5
WRIGHT,440367,68.3,27.36
KING,438986,72.8,22.02
SCOTT,420091,62.6,32.26
GREEN,413477,59.33,36.23
BAKER,413351,82.08,13.63
ADAMS,413086,76.17,19.2
NELSON,412236,80.29,14.93
HILL,411770,66.83,28.42
RAMIREZ,388987,4.4,0.29
CAMPBELL,371953,76.47,19.13
MITCHELL,367433,63.55,31.52
ROBERTS,366215,79.56,15.86
CARTER,362548,60.51,34.99
PHILLIPS,351848,78.95,16.36
EVANS,342237,70.65,25.05
TURNER,335663,66.67,29.31
TORRES,325169,6.05,0.58
PARKER,324246,71.49,24.09
COLLINS,317848,73.92,21.7
EDWARDS,317070,65.16,30.21
STEWART,312899,71.78,23.83
FLORES,312615,5.57,0.47
MORRIS,311754,75.92,19.29
NGUYEN,310125,1.26,0.18
MURPHY,300501,85.05,11.03
RIVERA,299463,5.92,1.06
COOK,294795,83.52,12.27
ROGERS,294403,77.8,17.66
MORGAN,276400,78.47,16.47
PETERSON,275041,86.29,9.58
COOPER,270097,70.36,25.26
REED,267443,73.51,21.97
BAILEY,265916,74.77,21.14
BELL,264752,63.57,31.78
GOMEZ,263590,6.1,0.81
KELLY,260385,80.39,15.48
HOWARD,254779,66.83,28.69
WARD,254121,77.79,17.77
COX,253771,84.48,11.55
DIAZ,251772,6.17,0.73
RICHARDSON,249533,62.25,32.77
WOOD,247299,90.06,5.61
WATSON,242432,68.58,26.85
BROOKS,240751,62.72,32.67
BENNETT,239055,79,16.51
GRAY,236713,71.13,24.36
JAMES,233224,54.45,38.09
REYES,232511,5.26,0.75
CRUZ,231065,5.95,0.83
HUGHES,229390,80.6,15.45
PRICE,228756,76.11,19.79
MYERS,224824,86.59,9.75
LONG,223494,82.35,11.75
FOSTER,221040,72,23.19
SANDERS,220902,63.44,31.9
ROSS,219961,71.46,23.67
MORALES,217642,5.6,0.6
POWELL,216553,69.96,25.97
SULLIVAN,215640,89.45,6.78
RUSSELL,215432,79.45,15.79
ORTIZ,214683,5.4,0.64
JENKINS,213737,60.12,35.97
GUTIERREZ,212905,5.21,0.25
PERRY,212644,70.71,24.37
BUTLER,210879,64.75,30.85
BARNES,210426,67.45,28.23
FISHER,210279,84.59,11.28
HENDERSON,210094,62.18,33.2
COLEMAN,208624,52.04,43.83
SIMMONS,201650,60.55,35.26
PATTERSON,198557,70.09,25.66
JORDAN,197212,64.3,30.06
REYNOLDS,195598,83.28,12.5
HAMILTON,194331,72.79,22.65
GRAHAM,194074,72.84,22.72
KIM,194067,2.6,0.36
GONZALES,193934,10,0.86
ALEXANDER,193443,60.91,33.22
RAMOS,193096,7.2,0.92
WALLACE,190760,71.76,23.73
GRIFFIN,190636,66.46,29.77
WEST,188464,77.69,17.8
COLE,187793,77.59,18.2
HAYES,187473,71.64,24.05
CHAVEZ,185865,5.65,0.21
GIBSON,184420,74.57,21.07
BRYANT,183761,60.97,34.68
ELLIS,181934,72.82,22.6
STEVENS,181417,83.4,11.4
MURRAY,178414,77.59,18.13
FORD,178397,64.28,31.4
MARSHALL,177213,68.89,26.35
OWENS,176334,68.09,27.86
MCDONALD,176094,79.19,16.26
HARRISON,175577,71,23.76
RUIZ,175429,6.12,0.48
KENNEDY,171636,82.97,12.98
WELLS,170635,76.31,19.34
ALVAREZ,168817,6.61,0.64
WOODS,168814,60.68,34.66
MENDOZA,168567,4.93,0.38
CASTILLO,165473,5.62,0.77
OLSON,163502,96.03,0.36
WEBB,163481,77.74,18.36
WASHINGTON,163036,5.16,89.87
TUCKER,162933,72.06,23.57
FREEMAN,162686,67.96,27.47
BURNS,162153,82.18,13.63
HENRY,161392,65.06,28.76
VASQUEZ,159989,5.49,0.5
SNYDER,159363,95.37,1.28
SIMPSON,158241,73.29,22.13
CRAWFORD,158121,71.31,24.47
JIMENEZ,157475,4.46,0.31
PORTER,156848,71.19,24.44
MASON,155484,70.99,24.48
SHAW,155172,74.67,20.23
